,Modelo,Clasificación Energética,Mínimo,Máximo,Mínimo.1,Máximo.1
256,Volkswagen Turismos Golf 8 MY22 Golf GTE 1.4 TSI Combinado: 180 kW (245 CV)  Automatico DSG 6 vel.,,"1,1","1,1","25,0","25,0"
257,Volkswagen Turismos Golf 8 MY22 Golf GTI 2.0 TSI 180 kW (245 CV)  6 vel.,,"7,4","7,4","168,0","168,0"
258,Volkswagen Turismos Golf 8 MY22 Golf GTI 2.0 TSI 180 kW (245 CV)  Automatico DSG 7 vel.,,"7,3","7,3","166,0","166,0"
259,Volkswagen Turismos Golf 8 MY22 Golf GTI Clubsport 2.0 TSI 221 kW (300 CV)  Automatico DSG 7 vel.,,"7,3","7,3","166,0","166,0"
260,Volkswagen Turismos Golf 8 MY22 Golf Life 1.0 eTSI 81 kW (110 CV)  Automatico DSG 7 vel.,,"5,2","5,2","117,0","117,0"
261,Volkswagen Turismos Golf 8 MY22 Golf Life 1.0 TSI 81 kW (110 CV)  6 vel.,,"5,4","5,4","123,0","123,0"
262,Volkswagen Turismos Golf 8 MY22 Golf Life 1.5 eTSI 110 kW (150 CV)  Automatico DSG 7 vel.,,"5,5","5,5","126,0","126,0"
263,Volkswagen Turismos Golf 8 MY22 Golf Life 1.5 eTSI 96 kW (130 CV)  Automatico DSG 7 vel.,,"5,5","5,5","124,0","124,0"
264,Volkswagen Turismos Golf 8 MY22 Golf Life 1.5 TSI 110 kW (150 CV)  6 vel.,,"5,6","5,6","126,0","126,0"
265,Volkswagen Turismos Golf 8 MY22 Golf Life 1.5 TSI 96 kW (130 CV)  6 vel.,,"5,4","5,4","122,0","122,0"
266,Volkswagen Turismos Golf 8 MY22 Golf Life 2.0 TDI 110 kW (150 CV)  6 vel.,,"4,4","4,4","116,0","116,0"
267,Volkswagen Turismos Golf 8 MY22 Golf Life 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.,,"4,5","4,5","118,0","118,0"
268,Volkswagen Turismos Golf 8 MY22 Golf Life 2.0 TDI 85 kW (115 CV)  6 vel.,,"4,5","4,5","117,0","117,0"
269,Volkswagen Turismos Golf 8 MY22 Golf Life 2.0 TDI 85 kW (115 CV)  Automatico DSG 7 vel.,,"4,5","4,5","117,0","117,0"
270,Volkswagen Turismos Golf 8 MY22 Golf R 2.0 TSI 235 kW (320 CV)  Automatico DSG 7 vel.,,"7,8","7,8","176,0","176,0"
271,Volkswagen Turismos Golf 8 MY22 Golf R-Line 1.5 eTSI 96 kW (130 CV)  Automatico DSG 7 vel.,,"5,5","5,5","126,0","126,0"
272,Volkswagen Turismos Golf 8 MY22 Golf R-Line 1.5 TSI 110 kW (150 CV)  6 vel.,,"5,7","5,7","129,0","129,0"
273,Volkswagen Turismos Golf 8 MY22 Golf R-Line 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.,,"5,7","5,7","129,0","129,0"
274,Volkswagen Turismos Golf 8 MY22 Golf R-Line 1.5 TSI 96 kW (130 CV)  6 vel.,,"5,5","5,5","124,0","124,0"
